"tre_cn","prev_tre_cn","plt_cn.re","plot_id","tree_status.re","species","dbh_in.re","plt_cn.init","tree_status.init","dbh_in.init"
"44950373020004","23652114010900","48203873010497","6-1-15-57257","live","PILA",25.4,"23652067010900","live",24.3
"44950378020004","23652118010900","48203873010497","6-1-15-57257","live","PSME",25.7,"23652067010900","live",25.4
"44950380020004","23652122010900","48203873010497","6-1-15-57257","live","PILA",10.4,"23652067010900","live",8.6
"44950387020004","23652110010900","48203873010497","6-1-15-57257","live","PSME",8.3,"23652067010900","live",7.2
"44950388020004","23652112010900","48203873010497","6-1-15-57257","live","PILA",11.2,"23652067010900","live",10.3
"44950389020004","23652100010900","48203873010497","6-1-15-57257","live","PILA",12.1,"23652067010900","live",11.2
"44950390020004","23652102010900","48203873010497","6-1-15-57257","live","OTHER",6.2,"23652067010900","live",5.9
"44950391020004","23652104010900","48203873010497","6-1-15-57257","live","PILA",6.5,"23652067010900","live",6
"44786503020004","23651401010900","48203905010497","6-1-15-83916","live","OTHER",6.8,"23651220010900","live",6.2
"44786504020004","23651403010900","48203905010497","6-1-15-83916","live","PILA",39.1,"23651220010900","live",38.4
"44786505020004","23651405010900","48203905010497","6-1-15-83916","live","OTHER",5.4,"23651220010900","live",5.4
"44786506020004","23651407010900","48203905010497","6-1-15-83916","live","OTHER",8.9,"23651220010900","live",8.9
"44786507020004","23651409010900","48203905010497","6-1-15-83916","live","OTHER",13.2,"23651220010900","live",13.3
"44786508020004","23651411010900","48203905010497","6-1-15-83916","live","OTHER",9.5,"23651220010900","live",8.6
"44786510020004","23651415010900","48203905010497","6-1-15-83916","live","OTHER",12.7,"23651220010900","live",12.2
"44786511020004","23651330010900","48203905010497","6-1-15-83916","live","OTHER",9.3,"23651220010900","live",8.9
"44786512020004","23651332010900","48203905010497","6-1-15-83916","live","OTHER",8.5,"23651220010900","live",8
"44786513020004","23651334010900","48203905010497","6-1-15-83916","live","OTHER",7.3,"23651220010900","live",6.2
"44786514020004","23651336010900","48203905010497","6-1-15-83916","live","OTHER",8.2,"23651220010900","live",8
"44786515020004","23651338010900","48203905010497","6-1-15-83916","live","OTHER",6,"23651220010900","live",5.5
"44786516020004","23651340010900","48203905010497","6-1-15-83916","live","OTHER",6.2,"23651220010900","live",6.3
"44786517020004","23651271010900","48203905010497","6-1-15-83916","live","OTHER",9.8,"23651220010900","live",9.3
"44786518020004","23651273010900","48203905010497","6-1-15-83916","live","OTHER",8.4,"23651220010900","live",7.5
"44786522020004","23651421010900","48203905010497","6-1-15-83916","live","PILA",37.1,"23651220010900","live",35.4
"44786519020004","23651275010900","48203905010497","6-1-15-83916","live","OTHER",11.8,"23651220010900","live",11.4
"44786520020004","23651417010900","48203905010497","6-1-15-83916","live","PILA",34.3,"23651220010900","live",32.5
"44786521020004","23651419010900","48203905010497","6-1-15-83916","live","PILA",25.1,"23651220010900","live",24.1
"44786523020004","23651423010900","48203905010497","6-1-15-83916","live","PILA",29.4,"23651220010900","live",28.7
"44786524020004","23651425010900","48203905010497","6-1-15-83916","live","PILA",31.2,"23651220010900","live",30.5
"44786525020004","23651427010900","48203905010497","6-1-15-83916","live","OTHER",3.2,"23651220010900","live",2.9
"44786526020004","23651352010900","48203905010497","6-1-15-83916","live","OTHER",3,"23651220010900","live",2.1
"44786527020004","23651355010900","48203905010497","6-1-15-83916","live","OTHER",1.3,"23651220010900","live",1.3
"44786528020004","23651358010900","48203905010497","6-1-15-83916","live","OTHER",1.3,"23651220010900","live",1
"44786532020004","23651367010900","48203905010497","6-1-15-83916","live","OTHER",1.5,"23651220010900","live",1.3
"44786533020004","23651370010900","48203905010497","6-1-15-83916","live","OTHER",1.3,"23651220010900","live",1.1
"44786534020004","23651373010900","48203905010497","6-1-15-83916","live","PSME",1.9,"23651220010900","live",1.6
"44786535020004","23651376010900","48203905010497","6-1-15-83916","live","OTHER",3.6,"23651220010900","live",3.2
"44786536020004","23651379010900","48203905010497","6-1-15-83916","live","OTHER",8.8,"23651220010900","live",7.8
"44786537020004","23651381010900","48203905010497","6-1-15-83916","live","OTHER",11.3,"23651220010900","live",10
"44786538020004","23651383010900","48203905010497","6-1-15-83916","live","OTHER",10.3,"23651220010900","live",9.5
"44786540020004","23651430010900","48203905010497","6-1-15-83916","live","OTHER",7.4,"23651220010900","live",7.1
