"plot_id","species","height_class","count"
"6-5-43-78845","ABCO",1,7
"6-5-43-78845","ABCO",2,0
"6-5-43-78845","ABCO",3,0
"6-5-43-78845","ABCO",4,0
"6-5-43-78845","ABCO",5,0
"6-5-43-78845","ABCO",6,0
"6-5-43-78845","ABCO",7,0
"6-5-43-78845","ABCO",8,0
"6-5-43-78845","ABCO",9,0
"6-5-43-78845","ABCO",10,0
"6-5-43-78845","ABCO",11,0
"6-5-43-78845","ABCO",12,0
"6-5-43-78845","ABCO",13,0
"6-5-43-78845","ABCO",14,0
"6-5-43-78845","ABCO",15,0
"6-5-43-78845","ABCO",16,0
"6-5-43-78845","ABCO",17,0
"6-5-43-78845","ABCO",18,0
"6-5-43-78845","ABCO",19,0
"6-5-43-78845","ABCO",20,0
"6-5-43-78845","ABCO",21,0
"6-5-43-78845","ABCO",22,1
"6-5-43-78845","ABCO",23,0
"6-5-43-78845","ABCO",24,0
"6-5-43-78845","ABCO",25,0
"6-5-43-78845","ABCO",26,0
"6-5-43-78845","ABCO",27,0
"6-5-43-78845","ABCO",28,0
"6-5-43-78845","ABCO",29,0
"6-5-43-78845","ABCO",30,0
"6-5-43-78845","ABCO",31,0
"6-5-43-78845","ABCO",32,0
"6-5-43-78845","ABCO",33,0
"6-5-43-78845","ABCO",34,0
"6-5-43-78845","ABCO",35,0
"6-5-43-78845","ABCO",36,0
"6-5-43-78845","ABCO",37,0
"6-5-43-78845","ABCO",38,0
"6-5-43-78845","ABCO",39,0
"6-5-43-78845","ABCO",40,0
"6-5-43-78845","ABCO",41,0
"6-5-43-78845","ABCO",42,0
"6-5-43-78845","ABCO",43,0
"6-5-43-78845","ABCO",44,0
"6-5-43-78845","ABCO",45,0
"6-5-43-78845","ABCO",46,0
"6-5-43-78845","ABCO",47,0
"6-5-43-78845","ABCO",48,0
"6-5-43-78845","ABCO",49,0
"6-5-43-78845","ABCO",50,0
"6-5-43-78845","ABCO",51,0
"6-5-43-78845","ABCO",52,0
"6-5-43-78845","ABCO",53,0
"6-5-43-78845","ABCO",54,0
"6-5-43-78845","CADE27",1,2
"6-5-43-78845","CADE27",2,0
"6-5-43-78845","CADE27",3,0
"6-5-43-78845","CADE27",4,0
"6-5-43-78845","CADE27",5,0
"6-5-43-78845","CADE27",6,0
"6-5-43-78845","CADE27",7,0
"6-5-43-78845","CADE27",8,0
"6-5-43-78845","CADE27",9,0
"6-5-43-78845","CADE27",10,0
"6-5-43-78845","CADE27",11,0
"6-5-43-78845","CADE27",12,0
"6-5-43-78845","CADE27",13,0
"6-5-43-78845","CADE27",14,0
"6-5-43-78845","CADE27",15,0
"6-5-43-78845","CADE27",16,0
"6-5-43-78845","CADE27",17,0
"6-5-43-78845","CADE27",18,0
"6-5-43-78845","CADE27",19,0
"6-5-43-78845","CADE27",20,0
"6-5-43-78845","CADE27",21,0
"6-5-43-78845","CADE27",22,0
"6-5-43-78845","CADE27",23,0
"6-5-43-78845","CADE27",24,0
"6-5-43-78845","CADE27",25,0
"6-5-43-78845","CADE27",26,0
"6-5-43-78845","CADE27",27,0
"6-5-43-78845","CADE27",28,0
"6-5-43-78845","CADE27",29,0
"6-5-43-78845","CADE27",30,0
"6-5-43-78845","CADE27",31,0
"6-5-43-78845","CADE27",32,0
"6-5-43-78845","CADE27",33,0
"6-5-43-78845","CADE27",34,0
"6-5-43-78845","CADE27",35,0
"6-5-43-78845","CADE27",36,0
"6-5-43-78845","CADE27",37,0
"6-5-43-78845","CADE27",38,0
"6-5-43-78845","CADE27",39,0
"6-5-43-78845","CADE27",40,0
"6-5-43-78845","CADE27",41,0
"6-5-43-78845","CADE27",42,0
"6-5-43-78845","CADE27",43,0
"6-5-43-78845","CADE27",44,0
"6-5-43-78845","CADE27",45,0
"6-5-43-78845","CADE27",46,0
"6-5-43-78845","CADE27",47,0
"6-5-43-78845","CADE27",48,0
"6-5-43-78845","CADE27",49,0
"6-5-43-78845","CADE27",50,0
"6-5-43-78845","CADE27",51,0
"6-5-43-78845","CADE27",52,0
"6-5-43-78845","CADE27",53,0
"6-5-43-78845","CADE27",54,0
"6-5-43-78845","OTHER",1,0
"6-5-43-78845","OTHER",2,0
"6-5-43-78845","OTHER",3,0
"6-5-43-78845","OTHER",4,0
"6-5-43-78845","OTHER",5,0
"6-5-43-78845","OTHER",6,0
"6-5-43-78845","OTHER",7,0
"6-5-43-78845","OTHER",8,0
"6-5-43-78845","OTHER",9,0
"6-5-43-78845","OTHER",10,0
