# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-07-21 18:04:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpC0iZKs/standata-7bbc74217686.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.772356
# Diagonal elements of inverse mass matrix:
# 0.0537038, 0.229209
-140.011,1,0.772356,2,3,0,140.238,-3.16532,0.0387373
-139.204,0.921961,0.772356,3,7,0,141.074,-2.89207,0.0669303
-139.541,0.909277,0.772356,1,3,0,140.1,-2.79758,0.0411163
-139.812,0.94824,0.772356,2,3,0,140.19,-2.73075,0.0769113
-139.406,0.999474,0.772356,3,7,0,139.998,-2.96415,0.07916
-142.323,0.795697,0.772356,2,7,0,142.369,-3.25893,0.0226578
-139.275,0.967257,0.772356,2,3,0,142.547,-2.91601,0.0443064
-139.292,0.997736,0.772356,2,3,0,139.398,-3.04167,0.0632241
-139.548,0.941235,0.772356,2,3,0,139.935,-3.05163,0.0407237
-139.803,0.989636,0.772356,2,3,0,139.852,-3.13179,0.0403858
-139.91,0.965305,0.772356,3,7,0,140.456,-2.65592,0.0487639
-139.308,0.865281,0.772356,1,3,0,141.357,-3.05764,0.0519642
-141.672,0.768925,0.772356,3,7,0,141.869,-2.82014,0.169145
-139.54,0.947477,0.772356,3,7,0,142.678,-3.07768,0.0733829
-139.821,0.954733,0.772356,1,1,0,139.855,-3.09306,0.0845413
-141.41,0.734841,0.772356,3,7,0,143.404,-3.23203,0.0268083
-139.535,1,0.772356,2,3,0,141.302,-3.07512,0.073617
-139.488,0.98184,0.772356,3,7,0,140.019,-2.74841,0.0612217
