# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.7633
# Diagonal elements of inverse mass matrix:
# 0.05119, 0.214856
-148.3,0.561877,0.7633,2,3,0,148.706,-2.80215,0.187819
-145.221,0.721351,0.7633,2,3,0,151.952,-2.91968,0.0813696
-145.506,0.92735,0.7633,2,3,0,146.365,-3.10582,0.0553883
-145.45,0.951008,0.7633,3,7,0,146.352,-2.50839,0.0412665
-144.695,0.972855,0.7633,2,3,0,145.85,-2.75565,0.0410194
-144.722,1,0.7633,2,3,0,144.865,-2.65307,0.0544479
-144.704,0.992275,0.7633,2,3,0,144.876,-2.93781,0.0539054
-144.627,0.982312,0.7633,2,7,0,144.958,-2.81205,0.0646968
-144.621,0.875845,0.7633,3,7,0,145.813,-2.73456,0.0441114
-144.493,1,0.7633,2,3,0,144.607,-2.80164,0.0516562
-145.537,0.887507,0.7633,2,3,0,145.64,-2.68834,0.0305038
-144.936,0.783356,0.7633,3,7,0,149.94,-2.59241,0.0489178
-144.837,1,0.7633,2,3,0,144.996,-2.62189,0.0553318
-145.083,0.972921,0.7633,3,7,0,145.484,-2.77495,0.0341597
-144.568,0.923427,0.7633,1,3,0,145.689,-2.79911,0.0613609
-144.979,0.822251,0.7633,2,3,0,146.49,-2.59639,0.0439063
-144.549,1,0.7633,2,3,0,144.961,-2.75977,0.0587668
-144.953,0.920432,0.7633,2,3,0,145.277,-2.58926,0.048203
-145.815,0.94127,0.7633,3,7,0,145.935,-3.14975,0.0559074
