# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 20:01:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-48405e57361c.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_nh-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.88424
# Diagonal elements of inverse mass matrix:
# 0.0536459, 0.166944
-145.52,0.936565,0.88424,3,7,0,147.275,-2.51471,0.0382342
-145.808,0.9504,0.88424,2,7,0,146.287,-2.45228,0.0556654
-145.886,0.995387,0.88424,2,7,0,145.923,-3.16612,0.0447701
-145.131,0.997488,0.88424,2,3,0,146.346,-2.84522,0.0337809
-145.06,1,0.88424,2,7,0,145.248,-2.7272,0.0798709
-148.313,0.496121,0.88424,2,3,0,149.559,-2.23354,0.0630422
-146.516,1,0.88424,2,3,0,148.449,-3.21162,0.064789
-144.574,1,0.88424,2,3,0,146.26,-2.7652,0.044961
-146.482,0.65946,0.88424,1,3,0,147.222,-2.40091,0.0327236
-146.653,0.951016,0.88424,2,3,0,147.29,-2.33782,0.0475198
-145.807,0.955917,0.88424,2,3,0,146.962,-3.14169,0.0403687
-147.264,0.803902,0.88424,1,1,0,147.276,-3.30319,0.0344514
-145.138,0.984494,0.88424,2,3,0,147.619,-2.78809,0.0334806
-145.204,0.757338,0.88424,2,3,0,148.157,-2.87823,0.0842224
-144.599,0.91811,0.88424,2,7,0,146.008,-2.76793,0.0438006
-144.599,0.811869,0.88424,1,3,0,145.779,-2.76793,0.0438006
-146.182,0.721982,0.88424,1,3,0,146.674,-2.40591,0.0555993
-145.247,1,0.88424,2,3,0,146.632,-2.64908,0.0788824
-144.814,1,0.88424,2,7,0,145.291,-2.97323,0.0515867
