# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 21:41:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-484020e736b9.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_size-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.879224
# Diagonal elements of inverse mass matrix:
# 0.0526811, 0.23134
-139.262,0.764476,0.879224,2,3,0,140.98,-2.92148,0.0719667
-139.158,0.976884,0.879224,2,3,0,139.391,-2.87732,0.0523856
-140.083,0.831276,0.879224,1,3,0,140.249,-2.64111,0.0640257
-140.099,1,0.879224,2,3,0,140.65,-3.14376,0.086876
-139.521,0.969809,0.879224,2,3,0,140.911,-2.73228,0.0552086
-139.519,0.943148,0.879224,2,3,0,140.032,-3.1176,0.0610231
-139.601,0.987879,0.879224,2,3,0,139.841,-2.80617,0.0393349
-141.686,0.8198,0.879224,2,3,0,141.753,-3.40453,0.0708374
-140.568,0.945138,0.879224,3,7,0,142.798,-2.55442,0.0487406
-139.199,1,0.879224,2,3,0,140.33,-3.00982,0.0595426
-139.459,0.891648,0.879224,1,3,0,139.927,-2.76032,0.0482223
-139.386,0.900163,0.879224,2,7,0,140.282,-3.08748,0.056993
-139.792,0.971312,0.879224,2,3,0,139.862,-2.71181,0.0710752
-140.411,0.95574,0.879224,2,3,0,140.781,-2.9319,0.0287491
-139.346,0.927317,0.879224,2,3,0,140.962,-3.05616,0.0647434
-140.999,0.69802,0.879224,1,3,0,141.975,-2.78981,0.135828
-140.257,1,0.879224,2,3,0,140.931,-2.82283,0.110487
-139.582,0.902892,0.879224,2,3,0,141.171,-2.80917,0.0802844
-141.673,0.77209,0.879224,2,3,0,142.069,-2.96141,0.176302
-139.651,0.951348,0.879224,2,7,0,141.686,-3.09442,0.0409982
-139.479,0.870675,0.879224,1,3,0,140.682,-2.92677,0.083547
-139.479,0.49496,0.879224,1,3,0,143.388,-2.92677,0.083547
-139.129,0.94528,0.879224,2,3,0,140.01,-2.93067,0.0530152
-139.421,0.817543,0.879224,2,3,0,140.528,-3.09174,0.0504585
-140.145,0.821857,0.879224,2,3,0,140.518,-2.9606,0.111322
-139.212,0.99145,0.879224,2,3,0,140,-2.84684,0.0508244
-139.955,0.744906,0.879224,2,3,0,141.165,-2.99753,0.10165
-140.337,0.80287,0.879224,2,3,0,141.601,-3.27467,0.0542757
-140.356,0.997634,0.879224,2,7,0,140.376,-2.58714,0.0559688
-139.473,1,0.879224,2,7,0,140.302,-3.08802,0.0669138
-139.207,0.77087,0.879224,2,3,0,142.171,-2.88658,0.0667345
-139.522,0.947829,0.879224,2,3,0,139.649,-2.75199,0.0461677
-143.792,0.356112,0.879224,2,3,0,145.376,-2.48526,0.141545
-141.49,1,0.879224,2,3,0,143.626,-2.56019,0.0942666
-140.976,1,0.879224,2,3,0,141.603,-3.27795,0.0325883
-139.218,0.969643,0.879224,1,3,0,141.005,-3.00993,0.0506266
-139.134,0.943519,0.879224,2,3,0,139.659,-2.91981,0.0609333
-139.155,0.835943,0.879224,2,3,0,140.449,-2.96533,0.0617245
-139.555,0.914027,0.879224,1,3,0,139.711,-2.79617,0.076991
-140.298,0.877148,0.879224,2,3,0,140.628,-3.25065,0.0658688
-139.902,0.982262,0.879224,2,3,0,140.987,-3.11642,0.0373267
-139.575,0.872738,0.879224,2,3,0,140.647,-2.74943,0.0442538
-140.792,0.83712,0.879224,2,3,0,140.945,-3.06493,0.128308
-142.25,0.808977,0.879224,2,3,0,143.298,-3.30716,0.0241418
-141.077,1,0.879224,1,1,0,142.217,-3.20653,0.0283275
-140.414,1,0.879224,1,1,0,141.096,-3.13745,0.0316926
-140.043,0.995857,0.879224,2,3,0,140.935,-3.05222,0.099886
-139.418,0.99411,0.879224,2,7,0,140.017,-2.77167,0.0485566
-139.209,1,0.879224,2,3,0,139.406,-2.83536,0.0570434
-139.612,0.952468,0.879224,2,7,0,139.62,-3.14469,0.0577582
-140.021,0.62457,0.879224,2,3,0,143.133,-2.66694,0.0698671
-139.723,1,0.879224,1,1,0,140.036,-2.70486,0.0646737
-139.129,1,0.879224,2,3,0,139.65,-2.95423,0.0546579
-140.096,0.809946,0.879224,1,3,0,140.328,-3.09718,0.0337577
