# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = fecd_model_model
# start_datetime = 2023-10-05 21:41:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/dfoster/AppData/Local/Temp/RtmpWk9ck5/standata-484020e736b9.json
# init = 2 (Default)
# random
#   seed = 110819
# output
#   file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/pila_fecd_size-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/dfoster/Documents/pila2021/02-data/03-results/fecd_model-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = --name=fecd_model_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,kappa
# Adaptation terminated
# Step size = 0.78736
# Diagonal elements of inverse mass matrix:
# 0.0548165, 0.232705
-139.387,0.925954,0.78736,2,7,0,140.043,-2.82687,0.0437066
-140.064,0.894579,0.78736,2,3,0,140.3,-2.8641,0.106417
-140.58,0.814142,0.78736,3,7,0,141.879,-3.13081,0.0299896
-139.659,1,0.78736,2,3,0,140.473,-3.12159,0.0433651
-139.994,0.907037,0.78736,2,3,0,140.728,-3.00335,0.0327446
-141.593,0.693809,0.78736,1,1,0,141.61,-3.06168,0.0230499
-139.632,1,0.78736,2,3,0,141.492,-3.11826,0.0438753
-139.855,0.958684,0.78736,1,1,0,139.907,-3.11594,0.038131
-140.897,0.501714,0.78736,1,3,0,144.305,-3.09961,0.127017
-141.617,0.889901,0.78736,1,1,0,141.708,-3.16997,0.1411
-139.249,0.991278,0.78736,3,7,0,141.411,-2.94765,0.0708431
-140.362,0.832286,0.78736,2,3,0,140.727,-2.69287,0.0916169
-140.01,1,0.78736,2,3,0,140.386,-2.7568,0.090876
-140.295,0.938223,0.78736,2,7,0,141.258,-3.07341,0.107223
-139.696,0.991282,0.78736,2,3,0,140.473,-2.8531,0.0363455
-140.342,0.87882,0.78736,1,1,0,140.378,-2.78405,0.0305038
-139.805,1,0.78736,2,3,0,140.382,-2.89506,0.0343898
-141.228,0.920266,0.78736,2,7,0,141.525,-3.32164,0.083191
-139.324,1,0.78736,2,3,0,141.264,-2.945,0.0754633
