"Parameter","Mean","Median","StDev","q5","q95","rhat","ess_bulk","ess_tail"
"Intercept",0.03967182395,0.03963405,0.00255458916922903,0.03547045,0.043881515,1.00196206479406,1563.78614164619,2037.4195603054
"DBH (m)",0.999738736,0.999768,0.00210190077442309,0.9963249,1.0032105,0.999798105045271,4852.06351973257,3711.38179009581
"Fire",-0.003277125469685,-0.003396265,0.00519908945755402,-0.011665755,0.005398821,1.00062386979194,2242.08126918535,2468.38329002589
"WPBR",0.001652539366795,0.00167093,0.00473470665628152,-0.0060693815,0.0094731,1.00087671555324,3474.42832225409,3252.89686732779
"Basal Area",-0.00535471295775,-0.00535287,0.00132485152856139,-0.007523765,-0.003179045,1.00001731804218,4498.66784341249,3306.30689582925
"Drought",-0.000587323532396,-0.0005615765,0.00157422414825907,-0.0032258025,0.0019983285,1.00099628911193,2633.48130187282,3010.41311443343
"Site Dryness",-0.0039993892872905,-0.003983685,0.0021367301418604,-0.007485365,-0.000490623300000003,1.00330662288578,2016.89208888535,2684.39433614193
"DBH x Fire",-0.0117779210100195,-0.01182235,0.00555019041282919,-0.020974005,-0.002641299,1.00165186971819,2761.30734630181,3153.94497297889
"DBH x WPBR",-0.001107201202164,-0.001028185,0.00720899736751073,-0.01282857,0.010598045,0.999675180032255,3633.76396482628,3293.01983730929
"DBH x BA",0.00206692576175875,0.00208134,0.0016804552465516,-0.0006816996,0.0047730775,0.99969863510042,5032.6840474284,3609.04903596325
"DBH x Drought",0.001309206284157,0.001326955,0.00178627822916188,-0.00164099,0.0041998395,1.00034672838628,4394.25382011081,3376.16713845951
"DBH x Dryness",0.0056866556491,0.00568237,0.00187441041905061,0.00260685,0.0088095245,1.0006094491574,4803.12941393052,3802.86154411351
"SD Plots",0.0180316856,0.0180392,0.000803407295098877,0.01673664,0.01934663,1.00480442453868,1324.99067313533,2237.3021884076
"SD Ecoregions",0.0121326897625,0.0119852,0.00197250242908525,0.009181926,0.015591375,1.00061982996285,998.024224428665,1942.91846153304
"SD Residual",0.021759946075,0.02175785,0.000373778541638149,0.02114599,0.02237551,1.0002961382729,2967.79788873678,3024.24318335932
